SKU,Encontrado,Stock,Stock Futuro
NBAPJ522203-GRY,SI,0,17
NBAPT522214-BLK2,SI,0,16
NBAPT522214-BLK1,SI,0,16
NBAPT522214-BLK,SI,0,14
NBATT522222-BLK,SI,0,5
NBATS622223-BLK,SI,0,4
NBACT622221-PUR,SI,0,13
NBACT622221-BLK,SI,0,13
NBAPJ622271-BLK,SI,0,44
NBAPJ622271-LHB,SI,0,44
NBAPJ622271-PUR,SI,0,34
NBAPJ622271-PNK,SI,0,34
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
NBAPJ622267-PUR,SI,0,44
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NBAPJ622264-PNK,SI,0,54
NBAPJ622264-GRY,SI,0,44
NBAPJ622261-GRY3,SI,0,44
NBAPJ622261-GRY1,SI,0,34
NBAPJ622261-GRY2,SI,0,44
NBAPJ622261-GRY,SI,0,34
NFLTS622201-NVY,SI,0,4
NFLTS622201-RED1,SI,0,4
NFLCT622202-BLK1,SI,0,17
MLBTS5222013-LBL,SI,0,4
MLBTS322210-NVY,SI,0,24
MLBTS322210-BLK,SI,0,25
MLBTS322205-NVY,SI,0,21
MLBTS322205-BLK,SI,0,25
PACSO522205K-ORG,NO,0,25
PACSO522206K-BLK,NO,0,25
BUDPT522201-BLK,SI,21,0
NASPT522202-GRY,SI,21,0
ACPT522201-BLK2,SI,21,0
LLPT522201-BLK,SI,21,0
LLSH522201-BLK,SI,21,0
NASSH522201-BLK,SI,17,0
64702U-ERA,NO,17,0
ACTS5232003-BLK,NO,17,0
SOUTS522205-PUR,SI,27,0
81818U-LNK,NO,27,0
81818U-LNZ,NO,27,0
81829U-LNZ,NO,27,0
81840U-88D,NO,27,0
81829U-LNK,NO,27,0
UMSH523106-BLK,NO,27,0
UMSH523103-NVY,NO,27,0
UMSH523105-BLK,NO,27,0
UMJS523103-TUR,NO,27,0
UMJS523104-LBL,NO,27,0
MLBTS320201-GRY,SI,0,25
21269U-LMN,NO,0,25
64702U-7RA,NO,0,25
NFLCT622202-NVY,SI,0,17
NFLCT622202-BLK,SI,0,17
CCJP522202-BLK,SI,21,0
FDPT522201-GRY,SI,21,0
NBATS321000-WHT2,SI,0,23
NBASW523108-BLK3,SI,0,42
NBAHD523111-BLK4,SI,0,49
NBASW523108-BLK4,SI,0,55
NBACT62213-NVY3,SI,0,42
NBASW523108-RED,SI,0,60
NBASW523108-BLK,SI,0,55
NBATS521000-WHT2,SI,0,33
NBATS321000-BLK8,SI,0,10
NBATS521000-BLK7,SI,18,24
FIJS322209-YEL,SI,7,0
NBATS322229-GRY4,SI,0,17
NBATS322229-BUR,SI,0,13
NBATS322229-BLU,SI,0,17
NBATS322229-DGRY,SI,0,18
NBASH322224-BLK4,SI,6,0
NBASW523106-RED2,SI,0,42
NBASW523108-BLU2,SI,0,42
NBACT422220-PUR,SI,0,25
NBACT422220-YEL,SI,0,25
NBACT422220-RED,SI,0,25
NBACT422220-BLK,SI,0,25
NBASH422220-BLK,SI,0,17
NBASH422220-PUR,SI,0,17
NBATT422220-BLK,SI,0,17
NBATT422220-PUR,SI,0,17
NBAHD422221-RED,SI,0,21
NBAHD422221-BLK,SI,0,12
NBAHD422221-PUR,SI,0,12
NBATT322221-BLK1,SI,6,0
NBATT322221-BLK,SI,6,0
NBATS322224-BLK2,SI,0,2
NBASH322221-BLK,SI,0,21
NBASH322220-BLK3,SI,0,17
NBASH322220-BLK4,SI,4,1
NBASH322220-BLK2,SI,4,0
NBASH322220-BLK,SI,4,0
NBATS322221-BLK1,SI,3,21
NBATS322221-WHT,SI,3,8
NBATS322221-YEL,SI,3,12
NBATS322220-PUR,SI,0,8
NBATS322220-BLK1,SI,3,0
NBATS322220-BLK,SI,0,6
NBASH322202-BLK,SI,0,7
NBATS322201-RED,SI,0,4
NBATS322201-YEL,SI,0,17
NBATS322201-GRY,SI,0,7
NBASH322201-YEL,SI,0,7
NBASH322201-WHT,SI,0,19
NBASH322201-RED,SI,0,18
NBASH322201-PUR,SI,0,19
NBASH322201-BLK1,SI,0,19
NBASH322201-BLK,SI,0,3
NBAHD322201-GRY,SI,0,8
NBAHD322201-BLK1,SI,0,25
NBAHD322201-BLK,SI,0,6
NBATS522256-BLK4,SI,0,6
NBATS522256-BLK,SI,0,10
NBATS522255-PUR,SI,0,14
NBATS522254-BLK,SI,0,6
NBATS522253-PUR,SI,0,9
NBATS522252-BLK4,SI,0,20
NBATS522252-BLK5,SI,0,5
NBAHD522252-BLK4,SI,0,10
NBAHD522252-BLK,SI,0,3
NBATS522240-YEL,SI,0,36
NBAJP622202-BLK1,SI,0,18
NBAJP622201-GRY3,SI,0,19
NBAJP622201-GRY,SI,0,19
NBASW622230-BLK,SI,0,6
NBASW622230-RED,SI,0,15
NBASW622230-YEL,SI,0,15
NBASW622230-PUR,SI,0,6
NBAHD622221-PUR,SI,0,5
NBAHD622221-BLK,SI,0,5
NBACT622220-LHB,SI,0,27
NBACT622220-YEL,SI,0,11
NBACT622220-RED,SI,0,5
NBACT622220-BLK,SI,0,3
NBAPT522210-BLK,SI,0,20
NBATS522210-BLK1,SI,0,15
NBATS522210-YEL,SI,0,7
NBATS522210-BLK,SI,0,13
CCCT622203-WHT,SI,8,0
CCTS622203-NVY,SI,22,0
CCTS622202-BLK,SI,20,0
CCTS622202-WHT,SI,5,0
CCTS622201-BGE,SI,23,0
NBALG422229-PUR,SI,0,17
NBALG422229-BLK,SI,0,17
NBATS422223-YEL,SI,0,14
NBATT322222-PUR1,SI,0,20
NBATT322222-PUR,SI,0,6
NBATT322222-BLU,SI,0,6
NBASB522226-BLK1,SI,10,0
NBATT522201-PUR1,SI,0,16
NBATT522201-BLU,SI,0,15
NBATS522203-BLK1,SI,0,25
NBATS522203-BLK,SI,0,25
NBASB322220-BLK2,SI,3,0
NBASB322220-BLK,SI,3,0
NBATS522229-GRN,SI,0,11
NBATS522229-BLU,SI,0,15
NBATS522229-BLK4,SI,0,19
NBATS522229-BLK2,SI,0,14
NBASB522211-RED,SI,10,0
NBATS322241-GRY,SI,0,23
NBATS322239-BLK,NO,0,23
NBATS322237-BLU,SI,0,17
NBATS322236-GRN,SI,0,18
NBATS322235-PUR1,SI,0,23
NBATS322231-YEL,SI,0,25
NBATS322231-BLU,SI,0,14
NBATS322230-WHT,SI,0,21
NBASB522248-PUR,SI,5,0
NBASB522228-PUR,SI,4,0
NBASB522228-GRY,SI,4,0
81826U-LNK,NO,4,0
81826U-LNZ,NO,4,0
21275U-LMN,NO,4,0
21261U-CY2,NO,4,0
21261U-LMT,NO,4,0
21261U-LN5,NO,4,0
21261U-LN6,NO,4,0
21265U-LPY,NO,4,0
21277U-LMN,NO,4,0
21270U-LMN,NO,4,0
21297U-LMH,NO,4,0
21297U-LMZ,NO,4,0
MLBBX522223-NVY,SI,0,18
MLBBX522223-NVY1,SI,0,36
MLBCT622202-AQA,SI,2,25
MLBCT622202-BLK,SI,1,24
MLBCT622202-BLU,SI,0,24
MLBTS522206-BLK,SI,0,8
MLBHD522207-BLK3,SI,0,17
MLBHD522207-NVY,SI,0,11
MLBHD522207-BLK,SI,0,8
MLBSH522204-BLU,SI,0,18
MLBSH522204-NVY1,SI,0,20
MLBSH522204-NVY,SI,0,6
MLBPJ522204-NVY,SI,0,50
MLBPJ522203-BLU,SI,0,37
MLBSO522204-NVY,SI,0,50
MLBSO522203-GRY,SI,0,41
MLBSO522202-NVY,SI,0,53
MLBSO522201-BLK,SI,1,39
STTS52207-BLK,SI,27,0
STTS52206-BLK,SI,25,0
STTS52203-GRY,SI,27,0
STTS52203-NVY,SI,27,0
MLBFF522201-BLU,SI,35,0
MLBFF522201-RED,SI,36,1
MLBSL522201-NVY,SI,64,2
MLBSL522201-BLK,SI,72,2
MLBSL522201-BLU,SI,79,0
CCSO522201-BLK,SI,0,27
CCPJ522202-RED,SI,0,44
PSGPJ522203-BLK,SI,0,49
PSGSO522204-BLU,SI,0,4
PSGSO522203-WHT,SI,0,69
PSGSO522202-RED,SI,0,12
PSGSO522201-BLK,SI,0,18
NBABX522201-RED,SI,0,23
NBATS522245-NVY,SI,0,13
NBATS522245-BLU,SI,0,17
NBATS522244-BLK,SI,0,18
NBATS522243-BLK,SI,0,17
NBATS522242-WHT,SI,1,17
NBATS522241-BLK,SI,0,21
NBATS522241-GRY,SI,0,4
NBATS522239-BLU,NO,0,4
NBATS522239-BLK,SI,7,32
NBATS522238-RED1,SI,0,42
NBATS522238-BLK,SI,0,56
NBATS522238-RED,SI,0,52
NBATS522237-BLU,SI,0,24
NBATS522235-PUR,NO,0,24
NBASL522207-PUR,SI,65,1
NBASL522207-BLK,SI,69,8
PSGSL522202-BLU,SI,71,0
RMSL522201-BLU,SI,66,0
PSGSL522201-BLK,SI,79,9
NBASL522202-PUR,SI,39,0
NBASL522201-PUR,SI,37,0
NBASL522201-RED,SI,37,0
NBAPJ522203-BLK,SI,0,17
NBATS522232-BLU,SI,0,4
NBATS522231-YEL,NO,0,4
NBATS522231-BLU,SI,8,22
NBATS52224-BLK7,SI,0,24
PSGJS32203-GRY,SI,0,23
PSGTS32217-WHT2,SI,0,9
PSGTS32217-BLU3,SI,0,24
PSGTS32217-BLU2,SI,1,14
NBASO522204-YEL,SI,0,8
NBASO522204-GRY,SI,0,8
NBASO522203-PUR,SI,0,24
NBASO522203-BLK,SI,1,44
NBASO522202-WHT,SI,0,60
NBASO522202-LHB,SI,0,33
NBASO522202-RED,SI,0,4
NBASO522201-WHT1,SI,0,46
NBASO522201-GRN,SI,0,31
NBASO522201-WHT,SI,0,19
NBABX522206-RED,SI,0,47
NBABX522201-LHB,SI,0,23
NBABX522201-GRY,SI,0,23
NBABX522201-PUR,SI,0,23
PSGJS32201-BLK,SI,0,23
PSGJS32201-WHT,SI,0,7
PSGJS32201-BLU,SI,0,17
GYTS522201-GRN,SI,15,0
PSGTS32212-BLU1,SI,0,18
PSGTS32212-BLK,SI,12,17
PSGSH32201-BLK,SI,0,13
PSGSW32205-NVY,SI,0,23
PSGTS32209-NVY,SI,0,9
PSGTS32209-BLK,SI,0,9
PSGJP32201-BLK,SI,0,9
PSGJP32201-BLU,SI,0,13
PSGTT32201-BLU,SI,0,3
PSGHD32202-NVY,SI,0,5
CCSO522202-RED,SI,0,34
NFLJS322201-NVY,SI,0,20
NFLJS322201-RED1,SI,0,20
NFLTS322205-RED1,SI,0,22
NFLTS322205-NVY,SI,0,19
NFLTS322205-BUR,SI,0,22
NFLTS322205-BLK3,SI,0,22
STFSO522201-BLK,SI,0,50
NASSO522202-BLK,SI,0,35
NASSO522201-NVY,SI,0,45
FTGTS522202-GRY,SI,25,0
JVSH322201-WHT,SI,0,18
JVSH322201-BLK,SI,0,4
JVJS322202-WHT,SI,0,14
JVJS322201-BLK,SI,2,1
JVTS322202-BLK,SI,0,20
CNSO522202-NVY,SI,0,37
CNSO522201-LBL,SI,0,29
ACPJ522202-BLK,SI,0,32
PSGTS32208-BLK,SI,19,0
NBASH322203-BLK,SI,2,19
NBATS322204-BLK2,SI,1,19
NBATS322204-WHT,SI,1,16
NBATS322204-BLK,SI,0,18
NBATS322228-RED,SI,4,18
NBATS322228-YEL,SI,5,11
NBATS322223-BLU,SI,0,6
NBATS322223-GRN,SI,0,20
NBATS322223-YEL,SI,0,7
NBAHD523112-BLK3,SI,0,42
NBAHD523111-RED,SI,0,44
NBATS322202-WHT1,SI,0,10
NBATS321000-PUR2,SI,0,25
RMPL523102-NVY,SI,0,42
NBASH322204-BLK2,SI,0,20
NBASH322204-BLK1,SI,0,14
NBASH322204-BLK,SI,0,7
NBATS322223-BLK,SI,0,6
NBASH322222-BLK,SI,0,22
NBATS322222-BLK2,SI,0,25
NBATS322222-BLU,SI,0,23
NBATS322222-PUR,SI,0,3
NBATT322220-BLK2,SI,0,11
NBATT322220-BLK1,SI,3,0
ACSO522201-BLK,NO,3,0
ACBX522201-GRY,SI,0,21
UMJS523101-BLK,NO,0,21
UMJS523101-NVY,NO,0,21
UMJK523101-BLK,NO,0,21
UMJS523102-BLK,NO,0,21
UMJS523102-NVY,NO,0,21
21316U-LMN,NO,0,21
21274U-LMN,NO,0,21
21276U-LMN,NO,0,21
21278U-LMN,NO,0,21
21298U-LMH,NO,0,21
21298U-LMZ,NO,0,21
21317U-LMN,NO,0,21
21253U-LN5,NO,0,21
21309U-CBK,NO,0,21
21255U-LN5,NO,0,21
MLBTS520200-BLK5,SI,0,42
UMJS523102-GRY,NO,0,42
UMSH523101-NVY,NO,0,42
MLBHD622212-BLU,SI,0,25
MLBTT622211-RED,SI,0,26
MLBTT622211-WHT,SI,0,6
MLBTS622211-GRY,SI,0,18
MLBTS622211-PNK,SI,0,4
MLBCT622211-BLK,SI,0,21
MLBCT622211-WHT1,SI,0,15
MLBCT622211-GRY,SI,0,10
MLBTS622210-LHB1,SI,0,20
MLBTS622210-NVY,SI,0,19
MLBTS622210-LHB,SI,0,19
MLBPT622210-NVY,SI,0,26
MLBSBR622210-NVY,SI,0,22
MLBSH622201-LHB,SI,0,11
MLBSH622201-AQA,SI,0,11
MLBPT622201-NVY,SI,0,23
MLBPT622201-BLK,SI,0,17
MLBPT622201-GRY,SI,0,17
MLBSBR622201-BLK,SI,0,25
MLBCT622201-WHT,SI,0,18
ROCTS522201-GRY,SI,24,0
NASCT622203-BLK,SI,23,0
NASCT622202-WHT,SI,16,0
NASCT622202-BLK,SI,12,0
BUDTS622202-GRY,SI,9,0
NASTS522209-BLK,SI,17,0
NASTS522208-GRY,SI,5,0
NASTS522208-BGE,SI,5,0
MLBTS520201-BLK2,SI,0,42
MLBTS522210-BLK,SI,2,0
MLBTS522209-GRY,SI,0,19
MLBTS522209-RED,SI,0,15
MLBTS322202-NVY,SI,0,16
UMSH523103-BLK,NO,0,16
UMSH523103-TUR,NO,0,16
UMJS523104-TUR,NO,0,16
NBATT322202-YEL,SI,0,24
NBATS522230-BLK,SI,0,40
NBASW523108-BLK1,SI,0,70
NBASW523108-BLK2,SI,0,45
NFLTS522206-RED1,SI,7,18
NFLTS522206-RED,SI,0,12
NFLTS522206-BUR,SI,0,2
FIJS322201-BLU,SI,6,0
SOUTS522204-BLK,SI,5,0
FDHD522201-BLK,SI,10,0
FDTS522201-BLU,SI,3,0
NBATS322215-BLK3,SI,0,12
NBATS322215-BLK1,SI,0,7
NBATS322215-BLK,SI,0,7
DFLTS522203-BLK,SI,21,0
PFLTS622202-BLK,SI,11,0
PFLCT622202-BLK,SI,4,0
PFLCT622201-BLK,SI,7,0
PFLTS522203-BLK,SI,23,0
PFLTS522202-GRY,SI,18,0
PSGJS52207-GRY,SI,0,5
PSGJS52201-BLK,SI,0,15
PSGJS52201-BLU,SI,0,9
NBASH622210-BLK,SI,0,26
NBASH622210-RED,SI,0,23
NBATS622213-WHT,SI,0,26
NBATS622213-BLK,SI,0,26
NBACT622210-WHT1,SI,0,15
NBACT622210-WHT,SI,0,14
NBATS622212-BLK1,SI,0,21
JVPT522202-BLK,SI,0,14
MLBPT522209-BLK,SI,0,21
MLBPT522208-BLK1,SI,0,16
MLBPT522208-BLK,SI,0,17
MLBPT522208-BLU,SI,0,16
MLBHD522206-WHT,SI,0,13
MLBPT522206-NVY1,SI,0,12
MLBPT522206-BLK,SI,0,16
MLBPT522206-BLU,SI,0,12
MLBPT522206-NVY,SI,0,6
MLBHD522205-BLK,SI,0,13
NASTS522205-BLK,SI,5,0
NASHD522201-NVY,SI,20,0
NASHD522201-BLK,SI,8,0
NASTS522202-GRY,SI,9,0
NASTS522202-BLK,SI,5,0
LCPTS522206-BLK,SI,15,0
LCPTS522204-GRY,SI,23,0
LCPTS522204-RED,SI,24,0
LCPTS522202-WHT,SI,27,0
LCPTS522201-GRY,SI,28,0
LCPTS522201-WHT,SI,23,0
LCPTS522201-BLK,SI,23,0
BUDHD522201-RED,SI,17,0
PCCT622201-RED,SI,20,0
PCCT622201-WHT,SI,25,0
PCTS622201-WHT,SI,22,0
CNCT622202-LBL,SI,5,0
ATRTS622201-BLK,SI,17,0
ACCT622201-BLK,SI,8,0
ACTS622201-PUR,SI,4,0
ACTT622201-GRY,SI,2,0
ACTT622201-BLK,SI,4,0
ATRTS522209-RED,SI,27,0
MLBSH522205-NVY1,SI,0,6
MLBSH522205-BLU,SI,0,20
MLBTS522207-BLU,SI,0,6
MLBTS522207-RED,SI,2,5
MLBTS522207-GRY,SI,0,11
MLBTS522207-NVY,SI,2,6
LCPTS622201-PNK,SI,27,0
LCPTS622201-LBL,SI,21,0
LCPTS622201-BLK,SI,16,0
LLTS522206-BLK,SI,7,0
LLTS522202-LBL,SI,24,0
KISTS622203-GRY,SI,4,0
KISTS622203-BLK,SI,4,0
KISTS622201-BLK,SI,7,0
ATRTS522204-BLK,SI,25,0
ACHD522201-BLK,SI,15,0
ACTS522204-WHT,SI,23,0
ACTS522202-WHT,SI,26,0
ACTS522201-GRY,SI,24,0
MLBHD522204-BLU,SI,0,21
MLBTS522205-BLK,SI,5,0
MLBJS522202-BLK,SI,0,3
MLBJS522201-BLK,SI,0,10
MLBSH522202-BLU,SI,0,21
MLBPT522202-BLK1,SI,0,6
NBATS622212-BLK,SI,0,21
NBATS622202-LHB,SI,0,15
PSGSW52205-NVY,SI,0,18
PSGJP52201-BLK,SI,0,18
NBACT622201-PUR,SI,0,7
NBACT622201-BLK1,SI,0,27
NBACJK622202-RED,SI,0,18
NBACJK622202-BLK,SI,0,18
NBACHD622201-RED,SI,0,19
NBACHD622201-BLK,SI,0,14
NBALG622229-BLK,SI,0,20
NBALG622229-PUR,SI,0,25
NBASW622229-RED,SI,0,24
NBASW622229-LIC,SI,0,25
NBASW622229-PUR,SI,0,19
NBATS622229-BLK3,SI,0,24
NBATS622229-BLK1,SI,0,20
NBATS622229-BLK,SI,0,19
NBATS622223-LIC,SI,0,21
NBATS622223-LHB,SI,0,25
RMPL522201-BLK,SI,0,5
RMPL522201-WHT,SI,0,4
RMPL522201-NVY,SI,0,3
RMJK522202-BLU,SI,0,9
RMTS522201-GRY,SI,2,24
NFLTS522205-RED2,SI,0,21
NFLTS522205-RED1,SI,7,10
NFLTS522205-RED,SI,0,12
NFLTS522205-NVY1,SI,0,20
NFLTS522205-BLK7,SI,0,17
NFLTS522205-BLK5,SI,10,15
NFLTS522205-BLK2,SI,0,7
CCTS522204-RED,SI,8,0
CCTS522202-BLK,SI,26,0
BABTS522201-GRY,SI,22,0
BABTS522201-BLK,SI,9,0
NBASW522213-YEL,SI,0,7
NBATS522215-BLK3,SI,0,12
NBAHD522212-PUR,SI,0,8
NBAHD522212-RED,SI,0,4
NBAJK522210-BLK1,SI,0,13
NBAJK522210-PUR,SI,0,2
NBAHD522210-RED,SI,0,20
NBASW522210-BLK2,SI,0,17
NBASW522210-BLK1,SI,0,13
NBASW522210-BLK,SI,0,8
NBATS522205-WHT2,SI,0,28
NBATS522205-PUR2,SI,0,25
NBATS522205-BLK3,SI,0,7
NBATS522205-BLK2,SI,0,19
NBATS522205-PUR,SI,0,9
NBATS522205-RED,SI,0,23
NBATS522205-WHT,SI,0,27
NBATS522205-BLK,SI,0,30
NBATT522202-YEL,SI,0,20
NBATT522202-BLK3,SI,0,17
NBATT522202-BLK1,SI,0,19
NBATT522202-BLK,SI,0,19
NBATS522202-YEL,SI,0,8
NBATS522202-WHT2,SI,0,19
NBATS522202-WHT1,SI,0,16
NBATS522202-WHT,SI,0,16
NBATS522202-RED,SI,0,20
NBATS522202-PUR1,SI,0,11
NBATS522202-PUR,SI,0,19
NBATS522202-ORG,SI,0,10
NBATS522202-LHB,SI,0,11
NBATS522201-YEL,SI,0,6
NBASW522202-BLK4,SI,0,11
NBASW522202-BLK3,SI,0,16
NBASW522202-BLK2,SI,0,8
NBASW522202-BLK1,SI,0,10
NBASW522202-BLK,SI,0,13
NBASH522204-YEL,SI,0,15
NBASH522204-BLK3,SI,0,12
NBASH522204-BLK1,SI,0,22
NBASH522204-BLK,SI,0,22
NBASH522201-YEL,SI,0,9
NBASH522201-WHT,SI,0,20
NBASH522201-RED,SI,0,16
NBASH522201-PUR1,SI,0,18
NBASH522201-PUR,SI,0,19
NBASH522201-BLK1,SI,0,24
NBASH522201-BLK,SI,0,10
NBAPT522204-GRY,SI,0,15
NBAPT522202-GRY1,SI,0,15
NBAPT522202-GRY,SI,0,17
NBAPT522202-BLK2,SI,0,15
NBAPT522201-BLK2,SI,0,17
NBAJK522202-RED,SI,0,10
NBAJK522202-PUR,SI,0,10
NBAHD522206-PUR,SI,0,17
MLBSW522201-BLK,SI,0,21
MLBTS522204-NVY,SI,0,7
MLBTS522203-NVY,SI,0,17
MLBTS522203-BLK1,SI,0,6
MLBTS522203-BLK,SI,0,7
MLBSH522201-BLK,SI,0,19
MLBSH522201-BLU,SI,0,19
MLBPT522201-NVY,SI,0,20
MLBHD522202-NVY,SI,0,16
MLBHD522201-NVY1,SI,0,14
MLBHD522201-NVY,SI,0,2
BCSH522201-RED,SI,0,21
BCTS522201-NVY,SI,1,21
BCSH322201-RED,SI,0,23
BCPT322201-NVY,SI,0,8
BCBX522209-RED,SI,0,50
LLSH522202-BLK,SI,25,0
BUDSH522201-BLK,SI,21,0
KISCT622202-WHT,SI,7,0
KISCT622201-BLK,SI,7,0
KISTS522202-BLK,NO,7,0
KISTS522201-BLK,SI,0,9
STFTS522204-GRN,SI,5,0
STFTS522203-BLK,SI,28,0
STFTS522202-BLK,SI,11,0
STFTS522202-GRN,SI,3,0
STFTS522201-BLK,SI,39,0
MLBTS522201-BLK1,SI,0,5
MLBTS522201-NVY,SI,6,0
MLBTS522201-BLU,SI,0,8
MLBTS522201-BLK,SI,17,0
JVPL522201-BLK,SI,0,20
JVSH522201-WHT,SI,0,24
JVSH522201-BLK,SI,0,25
JVJS522201-BLK,SI,0,13
JVTS522201-BLK,SI,1,9
BCPT522202-BLK,SI,0,7
BCHD522202-BLK,SI,0,7
OLHJS52201-RED,NO,0,7
NBAHD522201-BLK,SI,0,11
NBATT522222-GRN,SI,0,7
NBATT522222-PUR1,SI,0,20
NBALS522202-BLK3,SI,0,3
NBALS522202-GRY2,SI,0,11
NBASH522203-BLK3,SI,0,11
NBASH522203-BUR,SI,0,24
NBASH522203-BLK1,SI,4,1
NBASH522203-BLK,SI,8,0
NBAHD522205-BUR,SI,0,10
NBAHD522205-BLK3,SI,7,25
NBAHD522205-BLK2,SI,4,0
NBAHD522205-RED,SI,4,0
NBAHD522205-BLK,SI,5,0
NBAHD522205-GRY,SI,2,20
NBATS522204-WHT1,SI,7,0
NBATS522204-PUR,SI,3,3
NBATS522204-RED,SI,4,0
NBASH522224-BLK4,SI,2,1
NBASH522224-BLK3,SI,0,14
NBASH522224-BLK,SI,3,2
NBAHD522222-BLK5,SI,0,9
NBATT522221-BLK3,SI,0,20
NBATT522221-BLK2,SI,0,15
NBATS522226-BLK1,SI,0,14
NBATS522225-BLK1,SI,0,5
NBATS522225-BLK,SI,0,5
NBATS522227-BLK1,SI,0,10
NBATS522227-RED,SI,0,3
NBATS522227-BLK,SI,0,12
NBATS522224-BLK2,SI,6,0
NBATS522224-PUR,SI,6,0
NBAHD522221-YEL,SI,0,18
NFLTS522204-BLK3,SI,0,27
NFLTS522204-BLK1,SI,0,25
NFLTS522203-BLK1,SI,0,24
NFLTS522203-BLK,SI,0,25
NFLTS522202-BLK4,SI,0,10
NFLTS522202-BLK3,SI,0,20
NFLTS522202-BLK1,SI,0,23
NFLTS522202-BLK,SI,0,13
NFLPT522202-BLK5,SI,0,17
NFLPT522202-BLK4,SI,0,17
